Gene,Non-unique Gene name,Annotation,15608_247,21053_8147,11822_158,14410_846,15608_513,21127_2104,14913_283,21127_2150,24820_2209,15682_121,14412_245,21127_264,15608_324,15608_539,15682_350,15682_241,15608_212,15682_157,14412_13,15682_27,21053_8178,15608_533,31588_4131,15608_567,17428_844,21127_288,15682_177,14410_881,21127_2177,24820_2267
group_1571,,Hyaluronate lyase,NKIHGLOF_00878,CAIOAPPO_01187,EGGPCNEA_01730,BOGLFJDA_01253,JLENOMMB_01656,ALHNJLOP_01633,KGLLIHJM_01583,OJAJHHAH_00662,OCGAAEPO_01469,GLNDJCAF_01652,ODFLGDBH_01097,APOOJODC_00778,FONPKMKP_00574,OKOELMAF_01510,PEGMINDJ_00304;PEGMINDJ_00303;PEGMINDJ_00306;PEGMINDJ_00305,BCHKDIOD_01577,LPFDPCGO_00003,BPKFELMP_01509,OEDMFFKP_01954,BCNLJEOI_02108,GLONHLBP_02029,FPEIOILE_01581,PEHMELEN_02099,NFCFPMIG_02073,ELMHKFIJ_00413,GGJPJCAM_00428,JCMFBBHK_00428,FBLGIOPA_01823,IJNFIKKA_01321,NCOGIHLP_00757
galK_2~~~galK_1,galK_2;galK_1,Galactokinase,NKIHGLOF_01498,CAIOAPPO_01533,EGGPCNEA_00729,BOGLFJDA_00013,JLENOMMB_02091,ALHNJLOP_01575,KGLLIHJM_02088,OJAJHHAH_01544,OCGAAEPO_00271,GLNDJCAF_02063,ODFLGDBH_00959,APOOJODC_01667,FONPKMKP_01286,OKOELMAF_01496,PEGMINDJ_00232,BCHKDIOD_01563,LPFDPCGO_00993,BPKFELMP_00749,OEDMFFKP_02106,BCNLJEOI_02048,GLONHLBP_01755,FPEIOILE_02019,PEHMELEN_02075,NFCFPMIG_01720,ELMHKFIJ_00350,GGJPJCAM_01859,JCMFBBHK_01229,FBLGIOPA_00395,IJNFIKKA_01734,NCOGIHLP_00821
group_1561,,hypothetical protein,NKIHGLOF_01397,CAIOAPPO_01605,EGGPCNEA_01256,BOGLFJDA_01574,JLENOMMB_01292,ALHNJLOP_01471,KGLLIHJM_01491,OJAJHHAH_01613,OCGAAEPO_01030,GLNDJCAF_01532,ODFLGDBH_01435,APOOJODC_01443,FONPKMKP_01183,OKOELMAF_01258,PEGMINDJ_01293,BCHKDIOD_01372,LPFDPCGO_00790,BPKFELMP_00233,OEDMFFKP_01578,BCNLJEOI_01317,GLONHLBP_01306,FPEIOILE_01186,PEHMELEN_01855,NFCFPMIG_01332,ELMHKFIJ_01826,GGJPJCAM_01637,JCMFBBHK_01111,FBLGIOPA_01375,IJNFIKKA_02120,NCOGIHLP_00085
group_1560,,hypothetical protein,NKIHGLOF_01522,CAIOAPPO_01557,EGGPCNEA_00753,BOGLFJDA_01219,JLENOMMB_01688,ALHNJLOP_01599,KGLLIHJM_01615,OJAJHHAH_01565,OCGAAEPO_00247,GLNDJCAF_01619,ODFLGDBH_01060,APOOJODC_01691,FONPKMKP_01310,OKOELMAF_01543,PEGMINDJ_00256,BCHKDIOD_01610,LPFDPCGO_01018,BPKFELMP_00773,OEDMFFKP_01986,BCNLJEOI_00017,GLONHLBP_01997,FPEIOILE_01548,PEHMELEN_02132,NFCFPMIG_02082,ELMHKFIJ_00374,GGJPJCAM_01883,JCMFBBHK_01254,FBLGIOPA_01790,IJNFIKKA_01710,NCOGIHLP_00797
group_1557,,hypothetical protein,NKIHGLOF_01497,CAIOAPPO_01532,EGGPCNEA_00728,BOGLFJDA_00014,JLENOMMB_02090,ALHNJLOP_01574,KGLLIHJM_02087,OJAJHHAH_01543,OCGAAEPO_00272,GLNDJCAF_02062,ODFLGDBH_00958,APOOJODC_01666,FONPKMKP_01285,OKOELMAF_01495,PEGMINDJ_00231,BCHKDIOD_01562,LPFDPCGO_00992,BPKFELMP_00748,OEDMFFKP_02105,BCNLJEOI_02047,GLONHLBP_01756,FPEIOILE_02018,PEHMELEN_02074,NFCFPMIG_01719,ELMHKFIJ_00349,GGJPJCAM_01858,JCMFBBHK_01228,FBLGIOPA_00396,IJNFIKKA_01735,NCOGIHLP_00822
group_1556,,hypothetical protein,NKIHGLOF_01398,CAIOAPPO_01606,EGGPCNEA_01257,BOGLFJDA_01573,JLENOMMB_01293,ALHNJLOP_01472,KGLLIHJM_01492,OJAJHHAH_01614,OCGAAEPO_01031,GLNDJCAF_01531,ODFLGDBH_01434,APOOJODC_01444,FONPKMKP_01182,OKOELMAF_01257,PEGMINDJ_01292,BCHKDIOD_01373,LPFDPCGO_00791,BPKFELMP_00234,OEDMFFKP_01577,BCNLJEOI_01318,GLONHLBP_01307,FPEIOILE_01187,PEHMELEN_01854,NFCFPMIG_01333,ELMHKFIJ_01827,GGJPJCAM_01638,JCMFBBHK_01112,FBLGIOPA_01376,IJNFIKKA_02121,NCOGIHLP_00084
group_1555,,hypothetical protein,NKIHGLOF_01521,CAIOAPPO_01556,EGGPCNEA_00752,BOGLFJDA_01218,JLENOMMB_01689,ALHNJLOP_01598,KGLLIHJM_01616,OJAJHHAH_01564,OCGAAEPO_00248,GLNDJCAF_01618,ODFLGDBH_01059,APOOJODC_01690,FONPKMKP_01309,OKOELMAF_01544,PEGMINDJ_00255,BCHKDIOD_01611,LPFDPCGO_01017,BPKFELMP_00772,OEDMFFKP_01987,BCNLJEOI_00018,GLONHLBP_01996,FPEIOILE_01547,PEHMELEN_02133,NFCFPMIG_02083,ELMHKFIJ_00373,GGJPJCAM_01882,JCMFBBHK_01253,FBLGIOPA_01789,IJNFIKKA_01711,NCOGIHLP_00798
group_1552,,hypothetical protein,NKIHGLOF_00780,CAIOAPPO_01285,EGGPCNEA_01200,BOGLFJDA_00389,JLENOMMB_00555,ALHNJLOP_01078,KGLLIHJM_00486,OJAJHHAH_00566,OCGAAEPO_02144,GLNDJCAF_00473,ODFLGDBH_00627,APOOJODC_00680,FONPKMKP_00476,OKOELMAF_00212,PEGMINDJ_00405,BCHKDIOD_00337,LPFDPCGO_00106,BPKFELMP_01438,OEDMFFKP_00320,BCNLJEOI_00129,GLONHLBP_01197,FPEIOILE_00190,PEHMELEN_00684,NFCFPMIG_00707,ELMHKFIJ_00517,GGJPJCAM_00526,JCMFBBHK_00328,FBLGIOPA_00726,IJNFIKKA_01220,NCOGIHLP_02161
group_1550,,Phosphomevalonate kinase,NKIHGLOF_01496,CAIOAPPO_01531,EGGPCNEA_00727,BOGLFJDA_00015,JLENOMMB_02089,ALHNJLOP_01573,KGLLIHJM_02086,OJAJHHAH_01542,OCGAAEPO_00273,GLNDJCAF_02061,ODFLGDBH_00957,APOOJODC_01665,FONPKMKP_01284,OKOELMAF_01494,PEGMINDJ_00230,BCHKDIOD_01561,LPFDPCGO_00991,BPKFELMP_00747,OEDMFFKP_02104,BCNLJEOI_02046,GLONHLBP_01757,FPEIOILE_02017,PEHMELEN_02073,NFCFPMIG_01718,ELMHKFIJ_00348,GGJPJCAM_01857,JCMFBBHK_01227,FBLGIOPA_00397,IJNFIKKA_01736,NCOGIHLP_00823
btuD_6~~~btuD_4,btuD_6;btuD_4,Vitamin B12 import ATP-binding protein BtuD,NKIHGLOF_01399,CAIOAPPO_01607,EGGPCNEA_01258,BOGLFJDA_01572,JLENOMMB_01294,ALHNJLOP_01473,KGLLIHJM_01493,OJAJHHAH_01615,OCGAAEPO_01032,GLNDJCAF_01530,ODFLGDBH_01433,APOOJODC_01445,FONPKMKP_01181,OKOELMAF_01256,PEGMINDJ_01291,BCHKDIOD_01374,LPFDPCGO_00792,BPKFELMP_00235,OEDMFFKP_01576,BCNLJEOI_01319,GLONHLBP_01308,FPEIOILE_01188,PEHMELEN_01853,NFCFPMIG_01334,ELMHKFIJ_01828,GGJPJCAM_01639,JCMFBBHK_01113,FBLGIOPA_01377,IJNFIKKA_02122,NCOGIHLP_00083
group_1548,,hypothetical protein,NKIHGLOF_01520,CAIOAPPO_01555,EGGPCNEA_00751,BOGLFJDA_01217,JLENOMMB_01690,ALHNJLOP_01597,KGLLIHJM_01617,OJAJHHAH_01563,OCGAAEPO_00249,GLNDJCAF_01617,ODFLGDBH_01058,APOOJODC_01689,FONPKMKP_01308,OKOELMAF_01545,PEGMINDJ_00254,BCHKDIOD_01612,LPFDPCGO_01016,BPKFELMP_00771,OEDMFFKP_01988,BCNLJEOI_00019,GLONHLBP_01995,FPEIOILE_01546,PEHMELEN_02134,NFCFPMIG_02084,ELMHKFIJ_00372,GGJPJCAM_01881,JCMFBBHK_01252,FBLGIOPA_01788,IJNFIKKA_01712,NCOGIHLP_00799
group_1543,,hypothetical protein,NKIHGLOF_00728,CAIOAPPO_01721,EGGPCNEA_01139,BOGLFJDA_00455,JLENOMMB_00620,ALHNJLOP_01011,KGLLIHJM_00551,OJAJHHAH_00514,OCGAAEPO_00837,GLNDJCAF_00408,ODFLGDBH_00562,APOOJODC_00628,FONPKMKP_00424,OKOELMAF_00277,PEGMINDJ_01607,BCHKDIOD_00402,LPFDPCGO_00163,BPKFELMP_01098,OEDMFFKP_00385,BCNLJEOI_00194,GLONHLBP_01132,FPEIOILE_00125,PEHMELEN_00750,NFCFPMIG_00772,ELMHKFIJ_00560,GGJPJCAM_00578,JCMFBBHK_00276,FBLGIOPA_00791,IJNFIKKA_00679,NCOGIHLP_00884
group_1541,,hypothetical protein,NKIHGLOF_00781,CAIOAPPO_01284,EGGPCNEA_01201,BOGLFJDA_00388,JLENOMMB_00554,ALHNJLOP_01079,KGLLIHJM_00485,OJAJHHAH_00567,OCGAAEPO_02143,GLNDJCAF_00474,ODFLGDBH_00628,APOOJODC_00681,FONPKMKP_00477,OKOELMAF_00211,PEGMINDJ_00404,BCHKDIOD_00336,LPFDPCGO_00105,BPKFELMP_01437,OEDMFFKP_00319,BCNLJEOI_00128,GLONHLBP_01198,FPEIOILE_00191,PEHMELEN_00683,NFCFPMIG_00706,ELMHKFIJ_00516,GGJPJCAM_00525,JCMFBBHK_00329,FBLGIOPA_00725,IJNFIKKA_01221,NCOGIHLP_02160
fni,fni,Isopentenyl-diphosphate delta-isomerase,NKIHGLOF_01495,CAIOAPPO_01530,EGGPCNEA_00726,BOGLFJDA_00016,JLENOMMB_02088,ALHNJLOP_01572,KGLLIHJM_02085,OJAJHHAH_01541,OCGAAEPO_00274,GLNDJCAF_02060,ODFLGDBH_00956,APOOJODC_01664,FONPKMKP_01283,OKOELMAF_01493,PEGMINDJ_00229,BCHKDIOD_01560,LPFDPCGO_00990,BPKFELMP_00746,OEDMFFKP_02103,BCNLJEOI_02045,GLONHLBP_01758,FPEIOILE_02016,PEHMELEN_02072,NFCFPMIG_01717,ELMHKFIJ_00347,GGJPJCAM_01856,JCMFBBHK_01226,FBLGIOPA_00398,IJNFIKKA_01737,NCOGIHLP_00824
group_1536,,hypothetical protein,NKIHGLOF_00429,CAIOAPPO_01166,EGGPCNEA_00595,BOGLFJDA_01805,JLENOMMB_01422,ALHNJLOP_00492,KGLLIHJM_01435,OJAJHHAH_01336,OCGAAEPO_01936,GLNDJCAF_01719,ODFLGDBH_01646,APOOJODC_00475,FONPKMKP_00181,OKOELMAF_01563,PEGMINDJ_01918,BCHKDIOD_01773,LPFDPCGO_00362,BPKFELMP_00380,OEDMFFKP_01333,BCNLJEOI_01676,GLONHLBP_02041,FPEIOILE_01593,PEHMELEN_01187,NFCFPMIG_01460,ELMHKFIJ_01173,GGJPJCAM_00940,JCMFBBHK_00731,FBLGIOPA_01911,IJNFIKKA_00137,NCOGIHLP_01189
group_1535,,hypothetical protein,NKIHGLOF_00636,CAIOAPPO_02083,EGGPCNEA_01614,BOGLFJDA_00226,JLENOMMB_01514,ALHNJLOP_00249,KGLLIHJM_00781,OJAJHHAH_01471,OCGAAEPO_01866,GLNDJCAF_01556,ODFLGDBH_00747,APOOJODC_01592,FONPKMKP_01037,OKOELMAF_01376,PEGMINDJ_01354,BCHKDIOD_00022,LPFDPCGO_01906,BPKFELMP_00675,OEDMFFKP_00202,BCNLJEOI_00282,GLONHLBP_00670,FPEIOILE_01398,PEHMELEN_00944,NFCFPMIG_00024,ELMHKFIJ_00989,GGJPJCAM_01786,JCMFBBHK_01558,FBLGIOPA_00608,IJNFIKKA_01074,NCOGIHLP_01860
group_1533,,hypothetical protein,NKIHGLOF_01400,CAIOAPPO_01608,EGGPCNEA_01259,BOGLFJDA_01571,JLENOMMB_01295,ALHNJLOP_01474,KGLLIHJM_01494,OJAJHHAH_01616,OCGAAEPO_01033,GLNDJCAF_01529,ODFLGDBH_01432,APOOJODC_01446,FONPKMKP_01180,OKOELMAF_01255,PEGMINDJ_01290,BCHKDIOD_01375,LPFDPCGO_00793,BPKFELMP_00236,OEDMFFKP_01575,BCNLJEOI_01320,GLONHLBP_01309,FPEIOILE_01189,PEHMELEN_01852,NFCFPMIG_01335,ELMHKFIJ_01829,GGJPJCAM_01640,JCMFBBHK_01114,FBLGIOPA_01378,IJNFIKKA_02123,NCOGIHLP_00082
group_1531,,hypothetical protein,NKIHGLOF_01519,CAIOAPPO_01554,EGGPCNEA_00750,BOGLFJDA_01216,JLENOMMB_01691,ALHNJLOP_01596,KGLLIHJM_01618,OJAJHHAH_01562,OCGAAEPO_00250,GLNDJCAF_01616,ODFLGDBH_01057,APOOJODC_01688,FONPKMKP_01307,OKOELMAF_01546,PEGMINDJ_00253,BCHKDIOD_01613,LPFDPCGO_01015,BPKFELMP_00770,OEDMFFKP_01989,BCNLJEOI_00020,GLONHLBP_01994,FPEIOILE_01545,PEHMELEN_02135,NFCFPMIG_02085,ELMHKFIJ_00371,GGJPJCAM_01880,JCMFBBHK_01251,FBLGIOPA_01787,IJNFIKKA_01713,NCOGIHLP_00800
gspF,gspF;,Putative type II secretion system protein F;hypothetical protein,NKIHGLOF_00035,CAIOAPPO_01325,EGGPCNEA_01810,BOGLFJDA_01997,JLENOMMB_02171,ALHNJLOP_01992,KGLLIHJM_01842,OJAJHHAH_01984,OCGAAEPO_00972,GLNDJCAF_01956,ODFLGDBH_01794,APOOJODC_01879,FONPKMKP_01728,OKOELMAF_01800,PEGMINDJ_01057,BCHKDIOD_02259,LPFDPCGO_02067,BPKFELMP_01946,OEDMFFKP_01590,BCNLJEOI_02193,GLONHLBP_02124,FPEIOILE_01873,PEHMELEN_02198,NFCFPMIG_01532,ELMHKFIJ_02137,GGJPJCAM_02016,JCMFBBHK_01027,FBLGIOPA_01233,IJNFIKKA_01349,NCOGIHLP_01753
rbgA,rbgA,Ribosome biogenesis GTPase A,NKIHGLOF_01206,CAIOAPPO_01070,EGGPCNEA_00305,BOGLFJDA_01735,JLENOMMB_01614,ALHNJLOP_00946,KGLLIHJM_00367,OJAJHHAH_00306,OCGAAEPO_00083,GLNDJCAF_01324,ODFLGDBH_00995,APOOJODC_01986,FONPKMKP_00971,OKOELMAF_01436,PEGMINDJ_01169,BCHKDIOD_01480,LPFDPCGO_01813,BPKFELMP_01041,OEDMFFKP_01855,BCNLJEOI_01547,GLONHLBP_01969,FPEIOILE_01497,PEHMELEN_02014,NFCFPMIG_00468,ELMHKFIJ_00676,GGJPJCAM_00409,JCMFBBHK_02021,FBLGIOPA_01761,IJNFIKKA_00347,NCOGIHLP_01430
group_1526,,hypothetical protein,NKIHGLOF_00703;NKIHGLOF_00702,CAIOAPPO_01696;CAIOAPPO_01697,EGGPCNEA_01952,BOGLFJDA_00481,JLENOMMB_00647,ALHNJLOP_02085,KGLLIHJM_00578,OJAJHHAH_00489;OJAJHHAH_00488,OCGAAEPO_00862,GLNDJCAF_00381,ODFLGDBH_00536,APOOJODC_00603;APOOJODC_00602,FONPKMKP_00399;FONPKMKP_00400,OKOELMAF_00304,PEGMINDJ_01632;PEGMINDJ_01633,BCHKDIOD_00429,LPFDPCGO_00189,BPKFELMP_01123;BPKFELMP_01124,OEDMFFKP_00412,BCNLJEOI_00221,GLONHLBP_01105,FPEIOILE_00098,PEHMELEN_00777,NFCFPMIG_01930,ELMHKFIJ_00584,GGJPJCAM_00603;GGJPJCAM_00604,JCMFBBHK_00249,FBLGIOPA_00818,IJNFIKKA_00704,NCOGIHLP_00909
group_1519,,hypothetical protein,NKIHGLOF_00428,CAIOAPPO_01165,EGGPCNEA_00594,BOGLFJDA_01806,JLENOMMB_01421,ALHNJLOP_00491,KGLLIHJM_01434,OJAJHHAH_01335,OCGAAEPO_01937,GLNDJCAF_01718,ODFLGDBH_01647,APOOJODC_00474,FONPKMKP_00180,OKOELMAF_01562,PEGMINDJ_01919,BCHKDIOD_01774,LPFDPCGO_00361,BPKFELMP_00381,OEDMFFKP_01334,BCNLJEOI_01677,GLONHLBP_02040,FPEIOILE_01592,PEHMELEN_01186,NFCFPMIG_01459,ELMHKFIJ_01172,GGJPJCAM_00939,JCMFBBHK_00732,FBLGIOPA_01910,IJNFIKKA_00136,NCOGIHLP_01188
malK~~~potA_1~~~btuD_5,malK;potA_1;;btuD_5,Maltose/maltodextrin import ATP-binding protein MalK;Spermidine/putrescine import ATP-binding protein PotA;Putative ABC transporter ATP-binding protein MG187;Vitamin B12 import ATP-binding protein BtuD;hypothetical protein,NKIHGLOF_00818;NKIHGLOF_00817,CAIOAPPO_01247;CAIOAPPO_01248,EGGPCNEA_01239;EGGPCNEA_01238,BOGLFJDA_00352,JLENOMMB_00518,ALHNJLOP_01116;ALHNJLOP_01115,KGLLIHJM_00449,OJAJHHAH_00602,OCGAAEPO_01525;OCGAAEPO_01524,GLNDJCAF_00510,ODFLGDBH_00664,APOOJODC_00718;APOOJODC_00717,FONPKMKP_00513;FONPKMKP_00514,OKOELMAF_00175,PEGMINDJ_00367;PEGMINDJ_00368,BCHKDIOD_00300,LPFDPCGO_00066;LPFDPCGO_00067,BPKFELMP_01400;BPKFELMP_01401,OEDMFFKP_00283,BCNLJEOI_00092,GLONHLBP_01234,FPEIOILE_00227,PEHMELEN_00647,NFCFPMIG_00670,ELMHKFIJ_00478;ELMHKFIJ_00479,GGJPJCAM_00489;GGJPJCAM_00488,JCMFBBHK_00365;JCMFBBHK_00366,FBLGIOPA_00689,IJNFIKKA_01258;IJNFIKKA_01257,NCOGIHLP_00702;NCOGIHLP_00701
